merchant_id,risk_score,top_signal
10004947,1.0,tpv_drop
10009641,1.0,tpv_drop
10008563,1.0,tpv_drop
10001067,1.0,tpv_drop
10007475,1.0,tpv_drop
10001529,1.0,tpv_drop
10003973,1.0,tpv_drop
10009690,1.0,tpv_drop
10007907,1.0,tpv_drop
10008024,1.0,tpv_drop
10001535,1.0,tpv_drop
10003549,1.0,tpv_drop
10001532,1.0,tpv_drop
10003997,1.0,tpv_drop
10003672,1.0,tpv_drop
10009335,1.0,tpv_drop
10006264,1.0,tpv_drop
10002475,1.0,tpv_drop
10002924,1.0,tpv_drop
10004755,1.0,tpv_drop
10003327,1.0,tpv_drop
10007341,1.0,tpv_drop
10004070,1.0,tpv_drop
10006867,1.0,tpv_drop
10009236,1.0,tpv_drop
10008843,1.0,tpv_drop
10004049,1.0,tpv_drop
10009441,1.0,tpv_drop
10006514,1.0,tpv_drop
10002876,1.0,tpv_drop
10000891,1.0,tpv_drop
10007346,1.0,tpv_drop
10005608,1.0,tpv_drop
10000857,1.0,tpv_drop
10006962,1.0,tpv_drop
10000531,1.0,tpv_drop
10008320,1.0,tpv_drop
10000746,1.0,tpv_drop
10005545,1.0,tpv_drop
10005518,1.0,tpv_drop
10003335,1.0,tpv_drop
10004649,1.0,tpv_drop
10001891,1.0,tpv_drop
10006700,1.0,tpv_drop
10007671,1.0,tpv_drop
10009108,1.0,tpv_drop
10001239,1.0,tpv_drop
10001317,1.0,tpv_drop
10009018,1.0,tpv_drop
10007439,1.0,tpv_drop
10004238,1.0,tpv_drop
10003053,1.0,tpv_drop
10001093,1.0,tpv_drop
10004778,1.0,tpv_drop
10005650,1.0,tpv_drop
10009017,1.0,tpv_drop
10008129,1.0,tpv_drop
10003658,1.0,tpv_drop
10001311,1.0,tpv_drop
10001925,1.0,tpv_drop
10003545,1.0,tpv_drop
10002191,1.0,tpv_drop
10009610,0.8141917389087201,complaint
10006992,0.8057695767552737,complaint
10006345,0.8011596816316378,complaint
10004862,0.8,tpv_drop
10004941,0.8,tpv_drop
10001652,0.8,tpv_drop
10004888,0.8,tpv_drop
10004895,0.8,tpv_drop
10004839,0.8,tpv_drop
10004853,0.8,tpv_drop
10001657,0.8,tpv_drop
10004837,0.8,tpv_drop
10004950,0.8,tpv_drop
10005111,0.8,tpv_drop
10004963,0.8,tpv_drop
10004957,0.8,tpv_drop
10004846,0.8,tpv_drop
10004860,0.8,tpv_drop
10004942,0.8,tpv_drop
10001690,0.8,tpv_drop
10001691,0.8,tpv_drop
10001687,0.8,tpv_drop
10001685,0.8,tpv_drop
10001699,0.8,tpv_drop
10004970,0.8,tpv_drop
10004980,0.8,tpv_drop
10004976,0.8,tpv_drop
10005015,0.8,tpv_drop
10005017,0.8,tpv_drop
10005018,0.8,tpv_drop
10005022,0.8,tpv_drop
10004975,0.8,tpv_drop
10004945,0.8,tpv_drop
10005024,0.8,tpv_drop
10005003,0.8,tpv_drop
10005008,0.8,tpv_drop
10005007,0.8,tpv_drop
10001709,0.8,tpv_drop
10001716,0.8,tpv_drop
10004934,0.8,tpv_drop
10001702,0.8,tpv_drop
10001706,0.8,tpv_drop
10001695,0.8,tpv_drop
10001698,0.8,tpv_drop
10004884,0.8,tpv_drop
10004871,0.8,tpv_drop
10004993,0.8,tpv_drop
10005130,0.8,tpv_drop
10005131,0.8,tpv_drop
10005118,0.8,tpv_drop
10005178,0.8,tpv_drop
10005168,0.8,tpv_drop
10005169,0.8,tpv_drop
10005171,0.8,tpv_drop
10005149,0.8,tpv_drop
10004899,0.8,tpv_drop
10005152,0.8,tpv_drop
10005145,0.8,tpv_drop
10001637,0.8,tpv_drop
10001638,0.8,tpv_drop
10001643,0.8,tpv_drop
10001629,0.8,tpv_drop
10001635,0.8,tpv_drop
10001622,0.8,tpv_drop
10001623,0.8,tpv_drop
10005150,0.8,tpv_drop
10005272,0.8,tpv_drop
10005274,0.8,tpv_drop
10005263,0.8,tpv_drop
10005268,0.8,tpv_drop
10005269,0.8,tpv_drop
10005254,0.8,tpv_drop
10001603,0.8,tpv_drop
10001589,0.8,tpv_drop
10005138,0.8,tpv_drop
10001591,0.8,tpv_drop
10005299,0.8,tpv_drop
10005292,0.8,tpv_drop
10005294,0.8,tpv_drop
10005279,0.8,tpv_drop
10005147,0.8,tpv_drop
10005135,0.8,tpv_drop
10005136,0.8,tpv_drop
10005137,0.8,tpv_drop
10001590,0.8,tpv_drop
10005064,0.8,tpv_drop
10005054,0.8,tpv_drop
10005058,0.8,tpv_drop
10005059,0.8,tpv_drop
10005045,0.8,tpv_drop
10005114,0.8,tpv_drop
10005115,0.8,tpv_drop
10005103,0.8,tpv_drop
10001627,0.8,tpv_drop
10005108,0.8,tpv_drop
10005085,0.8,tpv_drop
10005091,0.8,tpv_drop
10005084,0.8,tpv_drop
10005122,0.8,tpv_drop
10001683,0.8,tpv_drop
10001672,0.8,tpv_drop
