merchant_id,month,tpv,approval_rate,pct_ecom,n_tx
10000014,2024-03-01,195.23000000000002,1.0,0.0,2
10000014,2024-11-01,100.85,1.0,0.0,2
10000134,2024-03-01,5705.41,1.0,0.1626000585409287,5
10000242,2024-09-01,24.17,1.0,0.0,1
10000289,2025-07-01,22.69,1.0,0.0,1
10000314,2025-01-01,220.8,1.0,0.0,1
10000318,2025-05-01,36.04,1.0,0.0,1
10000330,2024-06-01,53.81,0.5,0.0,2
10000396,2025-01-01,54.87,1.0,0.0,1
10000407,2025-11-01,42.72,1.0,0.0,1
10000443,2025-11-01,179.02,0.8571428571428571,0.3760473690090492,7
10000462,2024-09-01,62.19,1.0,1.0,1
10000480,2025-09-01,27.68,1.0,0.0,1
10000531,2024-07-01,151.19,1.0,0.1893643759507904,4
10000598,2024-07-01,255.48000000000002,1.0,0.0,3
10000615,2024-05-01,2380.72,0.75,0.0,4
10000622,2025-07-01,84.13,1.0,0.07690479020563414,2
10000631,2025-07-01,35.05,1.0,0.0,1
10000656,2024-12-01,57.07,1.0,1.0,1
10000712,2024-08-01,150.82,1.0,0.0,2
10000713,2025-04-01,194.06,1.0,0.0,1
10000720,2024-12-01,0.0,0.0,0.0,1
10000720,2025-06-01,40.93,1.0,0.0,1
10000773,2024-11-01,417.08,1.0,0.0,1
10000790,2025-06-01,148.95,1.0,1.0,1
10000797,2025-06-01,26.95,1.0,1.0,1
10000996,2025-11-01,122.72,0.6666666666666666,0.0,3
10001013,2025-05-01,487.81999999999994,1.0,0.0,4
10001018,2024-06-01,456.98,0.75,0.0,4
10001099,2025-01-01,17.18,1.0,0.0,1
10001254,2024-02-01,1458.89,1.0,1.0,1
10001591,2025-03-01,109.66,1.0,0.8609337953674996,3
10001599,2025-12-01,347.84000000000003,1.0,0.0,2
10001734,2025-07-01,23.85,1.0,0.0,1
10001831,2025-01-01,142.37,1.0,0.7672964810002106,2
10001884,2024-07-01,2596.29,1.0,0.777124281185846,2
10001914,2024-12-01,20.0,1.0,0.0,1
10001959,2024-06-01,60.010000000000005,1.0,0.0,2
10002037,2025-10-01,1326.27,0.8571428571428571,0.02727197327844255,14
10002062,2024-04-01,6.14,0.5,0.0,2
10002154,2024-08-01,408.52,1.0,0.13820620777440518,2
10002227,2024-08-01,90.75,1.0,0.0,2
10002227,2025-03-01,230.29,1.0,0.0,2
10002388,2025-07-01,1987.44,1.0,0.1802117296622791,2
10002420,2025-08-01,128.44,1.0,0.0,2
10002466,2024-11-01,52.71,1.0,0.0,1
10002484,2025-07-01,34.93,1.0,0.0,1
10002516,2024-11-01,5.53,1.0,0.0,1
10002520,2025-04-01,85.73,1.0,0.30257786072553366,2
10002674,2025-11-01,58.57,1.0,0.0,1
10002689,2025-08-01,354.67,1.0,1.0,1
10002718,2024-04-01,65.96,1.0,0.0,1
10002831,2024-10-01,1270.78,0.6666666666666666,0.7061489793670029,3
10002995,2025-12-01,69.52,1.0,0.4779919447640966,2
10003012,2024-06-01,42.65,1.0,0.0,1
10003198,2025-04-01,51.51,1.0,0.0,1
10003213,2024-10-01,0.0,0.0,0.0,1
10003375,2025-12-01,174.07,1.0,0.0,2
10003428,2025-08-01,36.41,1.0,0.0,1
10003449,2024-09-01,18.6,1.0,0.0,1
10003673,2025-07-01,28.84,1.0,0.0,1
10003745,2025-08-01,46.61,0.3333333333333333,0.0,3
10003808,2024-07-01,661.89,1.0,0.0,1
10003812,2025-10-01,102.31,1.0,1.0,1
10003847,2024-04-01,23.42,1.0,0.0,1
10004061,2025-06-01,224.9,1.0,0.0,1
10004122,2024-01-01,456.72,1.0,0.0,1
10004138,2025-08-01,142.54,1.0,0.0,1
10004209,2024-11-01,31.03,1.0,0.0,1
10004230,2025-11-01,79.11,1.0,0.0,1
10004289,2025-08-01,301.41,1.0,0.19176536943034403,2
10004324,2025-03-01,308.92,1.0,1.0,1
10004331,2024-12-01,90.47,1.0,0.0,2
10004400,2024-09-01,140.84,1.0,0.0,1
10004740,2024-10-01,4968.09,0.8,0.0,5
10004840,2024-08-01,1043.6,1.0,0.0,1
10004867,2025-09-01,300.42,0.75,0.19878836295852473,4
10005053,2024-01-01,129.66,1.0,0.0,2
10005093,2024-12-01,1569.96,1.0,0.2304899487885042,12
10005106,2025-12-01,26.34,1.0,0.0,1
10005216,2025-10-01,30.27,1.0,1.0,1
10005337,2024-07-01,124.81,1.0,0.0,2
10005345,2025-12-01,131.26,1.0,0.4542130123419168,2
10005349,2024-09-01,151.33999999999997,1.0,0.0,2
10005368,2024-09-01,207.5,0.75,0.0,4
10005413,2025-04-01,33.58,1.0,0.0,1
10005575,2024-06-01,50.11,1.0,0.0,1
10005758,2024-09-01,186.27,1.0,0.0,1
10005941,2024-11-01,42.12,1.0,0.0,2
10006003,2024-05-01,0.0,0.0,0.0,1
10006095,2024-10-01,518.5699999999999,1.0,0.0,7
10006104,2024-04-01,270.25,1.0,0.0,2
10006301,2024-07-01,409.49,0.6666666666666666,0.0,3
10006303,2024-03-01,37.45,1.0,1.0,1
10006342,2025-03-01,5999.450000000001,0.7,0.04090374951037178,10
10006364,2025-06-01,52.24,1.0,1.0,1
10006456,2025-11-01,69.44,1.0,0.0,1
10006485,2025-03-01,124.53,0.6666666666666666,0.4442303059503734,3
10006542,2024-03-01,1382.31,0.8888888888888888,0.24964732947023463,18
10006807,2025-06-01,199.32,1.0,0.051173991571342566,6
10006952,2025-07-01,3587.98,1.0,0.0,1
10006997,2024-04-01,1298.87,1.0,0.0,1
10007188,2024-04-01,151.92999999999998,1.0,0.0,2
10007311,2024-03-01,123.51,1.0,0.0,2
10007348,2025-04-01,186.87,1.0,1.0,1
10007459,2025-02-01,266.71999999999997,0.8333333333333334,0.09643071385722857,6
10007478,2024-11-01,8.41,1.0,0.0,1
10007516,2025-03-01,133.6,1.0,0.0,1
10007519,2025-03-01,873.67,0.8571428571428571,0.1567296576510582,14
10007522,2025-01-01,216.23000000000002,1.0,0.1717153031494242,3
10007613,2024-09-01,487.88,1.0,0.16360580470607525,2
10007759,2024-11-01,39.37,1.0,0.0,1
10007883,2024-05-01,70.98,1.0,0.0,1
10007930,2025-08-01,294.39,1.0,0.0,2
10007981,2025-09-01,378.15,1.0,0.0,2
10008019,2024-05-01,118.34,1.0,0.0,1
10008022,2024-01-01,10036.529999999999,0.8571428571428571,0.027447733429781015,7
10008149,2024-02-01,8821.22,0.8666666666666667,0.011264881728377708,15
10008179,2025-12-01,321.13,0.8,0.0,5
10008193,2024-07-01,90.22,0.6666666666666666,0.0,3
10008200,2024-04-01,41.309999999999995,1.0,0.0,2
10008244,2025-02-01,133.27,1.0,0.0,1
10008337,2024-03-01,241.99,1.0,0.0,1
10008474,2024-11-01,980.39,0.6428571428571429,0.05905812992788584,14
10008617,2025-03-01,85.17999999999999,1.0,0.131955858182672,2
10008618,2024-03-01,2431.75,1.0,0.23518042561940988,3
10008662,2025-09-01,36.79,1.0,0.0,1
10008847,2025-01-01,138.84,1.0,0.0,1
10008948,2025-03-01,1680.11,0.8421052631578947,0.16786996089541759,19
10008951,2024-01-01,21.220000000000002,1.0,0.0,2
10009192,2025-10-01,1797.96,1.0,0.4091637188813989,4
10009228,2025-03-01,36.2,1.0,1.0,1
10009240,2024-12-01,4816.41,0.7857142857142857,0.243160362178469,14
10009402,2024-01-01,116.9,1.0,0.0,1
10009418,2024-06-01,78.83,1.0,0.0,1
10009554,2024-10-01,11.89,1.0,0.0,1
10008453,2025-07-01,111.5,1.0,0.0,2
10008556,2025-04-01,88.16,1.0,0.0,1
10008995,2024-12-01,47.67,1.0,0.0,1
10008998,2025-04-01,42.55,1.0,1.0,1
10000183,2024-05-01,45.46,1.0,1.0,1
10000239,2024-02-01,39.76,1.0,1.0,1
10000312,2024-07-01,4800.29,1.0,0.0,1
10000464,2024-09-01,95.86,1.0,1.0,1
10000481,2024-03-01,11.86,1.0,0.0,1
10000641,2024-03-01,49.03,0.5,0.0,2
10000930,2024-08-01,2.96,1.0,1.0,1
10000936,2024-08-01,115.57,1.0,0.0,1
10001042,2024-05-01,63.11,1.0,0.0,2
10001053,2024-09-01,1393.63,1.0,0.0,3
10001191,2025-01-01,0.0,0.0,0.0,1
10001262,2025-07-01,41.45,1.0,0.5162846803377563,2
10001367,2024-10-01,85.10000000000001,1.0,0.0,2
10001392,2024-08-01,22.02,1.0,0.0,1
10001402,2025-05-01,64.78,1.0,0.2003704847175054,3
10001552,2025-08-01,502.72999999999996,1.0,0.14763391880333382,6
10001588,2024-10-01,54.87,1.0,0.0,1
10001622,2024-08-01,144.97,1.0,0.0,1
10001666,2024-06-01,155.73000000000002,1.0,0.7735182687985616,3
10001701,2025-11-01,13.4,1.0,0.0,1
10001981,2025-01-01,54.54,1.0,1.0,1
10001982,2025-08-01,19.41,1.0,0.0,1
10002060,2024-12-01,93.42,1.0,0.0,2
10002063,2024-05-01,480.12,1.0,0.3230442389402649,7
10002257,2024-04-01,1361.03,0.8421052631578947,0.07844059278634564,19
10002317,2024-12-01,71.79,0.5,0.0,2
10002331,2025-12-01,45.52,1.0,0.0,1
10002433,2025-08-01,39.46,1.0,0.0,1
10002464,2025-08-01,76.68,1.0,0.0,1
10002526,2025-07-01,55.68,0.5,0.0,2
10002529,2025-03-01,316.27,0.8571428571428571,0.10446770164732666,7
